,,,,,,,,
DATE,DINING HALL,BREAKFAST,LUNCH,DINNER,LATE NIGHT,TOTAL,UNIT TOTAL,
10/4/15,ABEL,178,547,994,,1719,1775,ABEL
10/4/15,HUSKER HOAGIES,,,,56,56,,
10/4/15,CPN,,,,,0,399,CPN
10/4/15,HUSKER HEROS,,399,,,399,,
10/4/15,KNOLL,,,,,0,,
10/4/15,EAST CAMPUS,,27,40,,67,67,EAST
10/4/15,CORNER DELI,,,,,0,,
10/4/15,HARPER,88,443,624,,1155,1155,HARPER
10/4/15,LEWIS 1 & 2,,,,,0,0,LEWIS
10/4/15,SELLECK,148,568,1076,,1792,1792,SELLECK
10/4/15,HUSKERS TO GO,,,,,0,,
,,,,,,,5188,TOTAL SERVED
,,,,,,,,
,,,,,,,,
DATE,DINING HALL,BREAKFAST,LUNCH,DINNER,LATE NIGHT,TOTAL,UNIT TOTAL,
10/5/15,ABEL,662,621,1036,50,2369,2930,ABEL
10/5/15,HUSKER HOAGIES,,561,,,561,,
10/5/15,CPN,490,672,1005,,2167,2922,CPN
10/5/15,HUSKER HEROS,,465,,,465,,
10/5/15,KNOLL,290,,,,290,,
10/5/15,EAST CAMPUS,55,211,151,,417,462,EAST
10/5/15,CORNER DELI,,45,,,45,,
10/5/15,HARPER,552,770,1006,,2328,2328,HARPER
10/5/15,LEWIS 1 & 2,,582,392,,974,974,LEWIS
10/5/15,SELLECK,759,1530,1137,,3426,3589,SELLECK
10/5/15,HUSKERS TO GO,,163,,,163,,
,,,,,,,13205,TOTAL SERVED
,,,,,,,,
,,,,,,,,
DATE,DINING HALL,BREAKFAST,LUNCH,DINNER,LATE NIGHT,TOTAL,UNIT TOTAL,
10/6/15,ABEL,637,610,1263,49,2559,3210,ABEL
10/6/15,HUSKER HOAGIES,,651,,,651,,
10/6/15,CPN,471,591,884,,1946,2799,CPN
10/6/15,HUSKER HEROS,,542,,,542,,
10/6/15,KNOLL,311,,,,311,,
10/6/15,EAST CAMPUS,82,223,191,,496,547,EAST
10/6/15,CORNER DELI,,51,,,51,,
10/6/15,HARPER,536,787,1088,,2411,2411,HARPER
10/6/15,LEWIS 1 & 2,,606,364,,970,970,LEWIS
10/6/15,SELLECK,630,1543,1294,,3467,3634,SELLECK
10/6/15,HUSKERS TO GO,,167,,,167,,
,,,,,,,13571,TOTAL SERVED
,,,,,,,,
,,,,,,,,
DATE,DINING HALL,BREAKFAST,LUNCH,DINNER,LATE NIGHT,TOTAL,UNIT TOTAL,
10/7/15,ABEL,721,567,1368,47,2703,3294,ABEL
10/7/15,HUSKER HOAGIES,,591,,,591,,
10/7/15,CPN,504,623,925,,2052,2844,CPN
10/7/15,HUSKER HEROS,2,494,,,496,,
10/7/15,KNOLL,296,,,,296,,
10/7/15,EAST CAMPUS,77,234,139,,450,499,EAST
10/7/15,CORNER DELI,,49,,,49,,
10/7/15,HARPER,553,783,1073,,2409,2409,HARPER
10/7/15,LEWIS 1 & 2,3,630,343,,976,976,LEWIS
10/7/15,SELLECK,741,1640,1155,,3536,3725,SELLECK
10/7/15,HUSKERS TO GO,,189,,,189,,
,,,,,,,13747,TOTAL SERVED
,,,,,,,,
,,,,,,,,
DATE,DINING HALL,BREAKFAST,LUNCH,DINNER,LATE NIGHT,TOTAL,UNIT TOTAL,
10/8/15,ABEL,634,683,1162,42,2521,3081,ABEL
10/8/15,HUSKER HOAGIES,,560,,,560,,
10/8/15,CPN,476,567,821,,1864,2692,CPN
10/8/15,HUSKER HEROS,,540,,,540,,
10/8/15,KNOLL,288,,,,288,,
10/8/15,EAST CAMPUS,79,238,122,,439,483,EAST
10/8/15,CORNER DELI,,44,,,44,,
10/8/15,HARPER,536,761,1071,,2368,2368,HARPER
10/8/15,LEWIS 1 & 2,1,574,277,,852,852,LEWIS
10/8/15,SELLECK,641,1485,1293,,3419,3588,SELLECK
10/8/15,HUSKERS TO GO,,169,,,169,,
,,,,,,,13064,TOTAL SERVED
,,,,,,,,
,,,,,,,,
DATE,DINING HALL,BREAKFAST,LUNCH,DINNER,LATE NIGHT,TOTAL,UNIT TOTAL,
10/9/15,ABEL,635,502,980,,2117,2698,ABEL
10/9/15,HUSKER HOAGIES,,581,,,581,,
10/9/15,CPN,452,548,,,1000,1762,CPN
10/9/15,HUSKER HEROS,,470,,,470,,
10/9/15,KNOLL,292,,,,292,,
10/9/15,EAST CAMPUS,59,154,119,,332,383,EAST
10/9/15,CORNER DELI,,51,,,51,,
10/9/15,HARPER,512,800,773,,2085,2085,HARPER
10/9/15,LEWIS 1 & 2,,561,159,,720,720,LEWIS
10/9/15,SELLECK,650,1344,1038,,3032,3164,SELLECK
10/9/15,HUSKERS TO GO,,132,,,132,,
,,,,,,,10812,TOTAL SERVED
,,,,,,,,
,,,,,,,,
DATE,DINING HALL,BREAKFAST,LUNCH,DINNER,LATE NIGHT,TOTAL,UNIT TOTAL,
10/10/15,ABEL,363,533,764,,1660,1660,ABEL
10/10/15,HUSKER HOAGIES,,,,,0,,
10/10/15,CPN,,,,,0,410,CPN
10/10/15,HUSKER HEROS,,410,,,410,,
10/10/15,KNOLL,,,,,0,,
10/10/15,EAST CAMPUS,,38,32,,70,70,EAST
10/10/15,CORNER DELI,,,,,0,,
10/10/15,HARPER,234,475,521,,1230,1230,HARPER
10/10/15,LEWIS 1 & 2,,,,,0,0,LEWIS
10/10/15,SELLECK,234,736,882,,1852,1852,SELLECK
10/10/15,HUSKERS TO GO,,,,,0,,
,,,,,,,5222,TOTAL SERVED
,,,,,,,,
,,,,,,,,
DATE,DINING HALL,BREAKFAST,LUNCH,DINNER,LATE NIGHT,TOTAL,UNIT TOTAL,
10/11/15,ABEL,225,654,1015,39,1933,1933,ABEL
10/11/15,HUSKER HOAGIES,,,,,0,,
10/11/15,CPN,,,,,0,514,CPN
10/11/15,HUSKER HEROS,,514,,,514,,
10/11/15,KNOLL,,,,,0,,
10/11/15,EAST CAMPUS,,32,54,,86,86,EAST
10/11/15,CORNER DELI,,,,,0,,
10/11/15,HARPER,105,563,722,,1390,1390,HARPER
10/11/15,LEWIS 1 & 2,,,,,0,0,LEWIS
10/11/15,SELLECK,167,651,1161,,1979,1979,SELLECK
10/11/15,HUSKERS TO GO,,,,,0,,
,,,,,,,5902,TOTAL SERVED
,,,,,,,,
,,,,,,,,
DATE,DINING HALL,BREAKFAST,LUNCH,DINNER,LATE NIGHT,TOTAL,UNIT TOTAL,
10/12/15,ABEL,650,589,1011,43,2293,2899,ABEL
10/12/15,HUSKER HOAGIES,,606,,,606,,
10/12/15,CPN,491,650,1046,,2187,2953,CPN
10/12/15,HUSKER HEROS,,464,,,464,,
10/12/15,KNOLL,302,,,,302,,
10/12/15,EAST CAMPUS,61,219,152,,432,468,EAST
10/12/15,CORNER DELI,,36,,,36,,
10/12/15,HARPER,517,798,1040,,2355,2355,HARPER
10/12/15,LEWIS 1 & 2,,578,373,,951,951,LEWIS
10/12/15,SELLECK,796,1535,1095,,3426,3589,SELLECK
10/12/15,HUSKERS TO GO,,163,,,163,,
,,,,,,,13215,TOTAL SERVED
,,,,,,,,
,,,,,,,,
DATE,DINING HALL,BREAKFAST,LUNCH,DINNER,LATE NIGHT,TOTAL,UNIT TOTAL,
10/13/15,ABEL,644,604,1296,57,2601,3227,ABEL
10/13/15,HUSKER HOAGIES,,626,,,626,,
10/13/15,CPN,465,560,946,,1971,2844,CPN
10/13/15,HUSKER HEROS,,564,,,564,,
10/13/15,KNOLL,309,,,,309,,
10/13/15,EAST CAMPUS,77,241,159,,477,533,EAST
10/13/15,CORNER DELI,,56,,,56,,
10/13/15,HARPER,513,854,1118,,2485,2485,HARPER
10/13/15,LEWIS 1 & 2,,575,329,,904,904,LEWIS
10/13/15,SELLECK,651,1495,1142,,3288,3461,SELLECK
10/13/15,HUSKERS TO GO,,173,,,173,,
,,,,,,,13454,TOTAL SERVED
,,,,,,,,
,,,,,,,,
DATE,DINING HALL,BREAKFAST,LUNCH,DINNER,LATE NIGHT,TOTAL,UNIT TOTAL,
10/14/15,ABEL,655,607,1230,63,2555,3113,ABEL
10/14/15,HUSKER HOAGIES,,558,,,558,,
10/14/15,CPN,515,650,1003,,2168,2984,CPN
10/14/15,HUSKER HEROS,1,509,,,510,,
10/14/15,KNOLL,306,,,,306,,
10/14/15,EAST CAMPUS,81,212,138,,431,484,EAST
10/14/15,CORNER DELI,,53,,,53,,
10/14/15,HARPER,559,819,1057,,2435,2435,HARPER
10/14/15,LEWIS 1 & 2,,604,302,,906,906,LEWIS
10/14/15,SELLECK,769,1596,1099,,3464,3651,SELLECK
10/14/15,HUSKERS TO GO,,187,,,187,,
,,,,,,,13573,TOTAL SERVED
,,,,,,,,
,,,,,,,,
DATE,DINING HALL,BREAKFAST,LUNCH,DINNER,LATE NIGHT,TOTAL,UNIT TOTAL,
10/15/15,ABEL,664,592,999,42,2297,2924,ABEL
10/15/15,HUSKER HOAGIES,,627,,,627,,
10/15/15,CPN,461,537,871,,1869,2724,CPN
10/15/15,HUSKER HEROS,,573,,,573,,
10/15/15,KNOLL,282,,,,282,,
10/15/15,EAST CAMPUS,80,240,139,,459,512,EAST
10/15/15,CORNER DELI,,53,,,53,,
10/15/15,HARPER,535,757,961,,2253,2253,HARPER
10/15/15,LEWIS 1 & 2,,539,261,,800,800,LEWIS
10/15/15,SELLECK,683,1422,1070,,3175,3340,SELLECK
10/15/15,HUSKERS TO GO,,165,,,165,,
,,,,,,,12553,TOTAL SERVED
,,,,,,,,
,,,,,,,,
DATE,DINING HALL,BREAKFAST,LUNCH,DINNER,LATE NIGHT,TOTAL,UNIT TOTAL,
10/16/15,ABEL,628,468,391,,1487,2053,ABEL
10/16/15,HUSKER HOAGIES,,566,,,566,,
10/16/15,CPN,472,480,,,952,1665,CPN
10/16/15,HUSKER HEROS,,442,,,442,,
10/16/15,KNOLL,271,,,,271,,
10/16/15,EAST CAMPUS,54,154,39,,247,281,EAST
10/16/15,CORNER DELI,,34,,,34,,
10/16/15,HARPER,495,754,266,,1515,1515,HARPER
10/16/15,LEWIS 1 & 2,,422,68,,490,490,LEWIS
10/16/15,SELLECK,601,1231,609,,2441,2570,SELLECK
10/16/15,HUSKERS TO GO,,129,,,129,,
,,,,,,,8574,TOTAL SERVED
,,,,,,,,
,,,,,,,,
DATE,DINING HALL,BREAKFAST,LUNCH,DINNER,LATE NIGHT,TOTAL,UNIT TOTAL,
10/17/15,ABEL,151,371,441,,963,963,ABEL
10/17/15,HUSKER HOAGIES,,,,,0,,
10/17/15,CPN,,,,,0,202,CPN
10/17/15,HUSKER HEROS,,202,,,202,,
10/17/15,KNOLL,,,,,0,,
10/17/15,EAST CAMPUS,,12,29,,41,41,EAST
10/17/15,CORNER DELI,,,,,0,,
10/17/15,HARPER,,,,,0,0,HARPER
10/17/15,LEWIS 1 & 2,,,,,0,0,LEWIS
10/17/15,SELLECK,,,,,0,0,SELLECK
10/17/15,HUSKERS TO GO,,,,,0,,
,,,,,,,1206,TOTAL SERVED
,,,,,,,,
,,,,,,,,
DATE,DINING HALL,BREAKFAST,LUNCH,DINNER,LATE NIGHT,TOTAL,UNIT TOTAL,
10/18/15,ABEL,117,294,550,,961,961,ABEL
10/18/15,HUSKER HOAGIES,,,,,0,,
10/18/15,CPN,,,,,0,190,CPN
10/18/15,HUSKER HEROS,,190,,,190,,
10/18/15,KNOLL,,,,,0,,
10/18/15,EAST CAMPUS,,15,12,,27,27,EAST
10/18/15,CORNER DELI,,,,,0,,
10/18/15,HARPER,,,,,0,0,HARPER
10/18/15,LEWIS 1 & 2,,,,,0,0,LEWIS
10/18/15,SELLECK,,,,,0,0,SELLECK
10/18/15,HUSKERS TO GO,,,,,0,,
,,,,,,,1178,TOTAL SERVED
,,,,,,,,
,,,,,,,,
DATE,DINING HALL,BREAKFAST,LUNCH,DINNER,LATE NIGHT,TOTAL,UNIT TOTAL,
10/19/15,ABEL,149,534,741,,1424,1424,ABEL
10/19/15,HUSKER HOAGIES,,,,,0,,
10/19/15,CPN,,,,,0,281,CPN
10/19/15,HUSKER HEROS,,281,,,281,,
10/19/15,KNOLL,,,,,0,,
10/19/15,EAST CAMPUS,,30,18,,48,48,EAST
10/19/15,CORNER DELI,,,,,0,,
10/19/15,HARPER,,,,,0,0,HARPER
10/19/15,LEWIS 1 & 2,,,,,0,0,LEWIS
10/19/15,SELLECK,,,,,0,0,SELLECK
10/19/15,HUSKERS TO GO,,,,,0,,
,,,,,,,1753,TOTAL SERVED
,,,,,,,,
,,,,,,,,
DATE,DINING HALL,BREAKFAST,LUNCH,DINNER,LATE NIGHT,TOTAL,UNIT TOTAL,
10/20/15,ABEL,204,707,860,41,1812,1812,ABEL
10/20/15,HUSKER HOAGIES,,,,,0,,
10/20/15,CPN,,,525,,525,971,CPN
10/20/15,HUSKER HEROS,,446,,,446,,
10/20/15,KNOLL,,,,,0,,
10/20/15,EAST CAMPUS,,35,46,,81,81,EAST
10/20/15,CORNER DELI,,,,,0,,
10/20/15,HARPER,,,487,,487,487,HARPER
10/20/15,LEWIS 1 & 2,,,188,,188,188,LEWIS
10/20/15,SELLECK,,,480,,480,480,SELLECK
10/20/15,HUSKERS TO GO,,,,,0,,
,,,,,,,4019,TOTAL SERVED
,,,,,,,,
,,,,,,,,
DATE,DINING HALL,BREAKFAST,LUNCH,DINNER,LATE NIGHT,TOTAL,UNIT TOTAL,
10/21/15,ABEL,632,548,1209,65,2454,3073,ABEL
10/21/15,HUSKER HOAGIES,,619,,,619,,
10/21/15,CPN,485,592,993,,2070,2889,CPN
10/21/15,HUSKER HEROS,,527,,,527,,
10/21/15,KNOLL,292,,,,292,,
10/21/15,EAST CAMPUS,65,216,148,,429,494,EAST
10/21/15,CORNER DELI,,65,,,65,,
10/21/15,HARPER,503,799,1123,,2425,2425,HARPER
10/21/15,LEWIS 1 & 2,,650,377,,1027,1027,LEWIS
10/21/15,SELLECK,714,1605,1187,,3506,3696,SELLECK
10/21/15,HUSKERS TO GO,,190,,,190,,
,,,,,,,13604,TOTAL SERVED
,,,,,,,,
,,,,,,,,
DATE,DINING HALL,BREAKFAST,LUNCH,DINNER,LATE NIGHT,TOTAL,UNIT TOTAL,
10/22/15,ABEL,585,599,1158,51,2393,3055,ABEL
10/22/15,HUSKER HOAGIES,,662,,,662,,
10/22/15,CPN,684,567,904,,2155,2956,CPN
10/22/15,HUSKER HEROS,,547,,,547,,
10/22/15,KNOLL,254,,,,254,,
10/22/15,EAST CAMPUS,68,235,134,,437,480,EAST
10/22/15,CORNER DELI,,43,,,43,,
10/22/15,HARPER,485,858,1054,,2397,2397,HARPER
10/22/15,LEWIS 1 & 2,6,593,301,,900,900,LEWIS
10/22/15,SELLECK,505,1410,1187,,3102,3262,SELLECK
10/22/15,HUSKERS TO GO,,160,,,160,,
,,,,,,,13050,TOTAL SERVED
,,,,,,,,
,,,,,,,,
DATE,DINING HALL,BREAKFAST,LUNCH,DINNER,LATE NIGHT,TOTAL,UNIT TOTAL,
10/23/15,ABEL,575,586,1046,,2207,2818,ABEL
10/23/15,HUSKER HOAGIES,,611,,,611,,
10/23/15,CPN,433,599,,,1032,1782,CPN
10/23/15,HUSKER HEROS,4,485,,,489,,
10/23/15,KNOLL,261,,,,261,,
10/23/15,EAST CAMPUS,49,168,92,,309,356,EAST
10/23/15,CORNER DELI,,47,,,47,,
10/23/15,HARPER,479,756,774,,2009,2009,HARPER
10/23/15,LEWIS 1 & 2,2,567,154,,723,723,LEWIS
10/23/15,SELLECK,666,1365,1057,,3088,3252,SELLECK
10/23/15,HUSKERS TO GO,,164,,,164,,
,,,,,,,10940,TOTAL SERVED
,,,,,,,,
,,,,,,,,
DATE,DINING HALL,BREAKFAST,LUNCH,DINNER,LATE NIGHT,TOTAL,UNIT TOTAL,
10/24/15,ABEL,464,335,847,,1646,1646,ABEL
10/24/15,HUSKER HOAGIES,,,,,0,,
10/24/15,CPN,,,,,0,464,CPN
10/24/15,HUSKER HEROS,,464,,,464,,
10/24/15,KNOLL,,,,,0,,
10/24/15,EAST CAMPUS,,19,32,,51,51,EAST
10/24/15,CORNER DELI,,,,,0,,
10/24/15,HARPER,284,276,548,,1108,1108,HARPER
10/24/15,LEWIS 1 & 2,,,,,0,0,LEWIS
10/24/15,SELLECK,363,493,829,,1685,1685,SELLECK
10/24/15,HUSKERS TO GO,,,,,0,,
,,,,,,,4954,TOTAL SERVED
,,,,,,,,
DATE,DINING HALL,BREAKFAST,LUNCH,DINNER,LATE NIGHT,TOTAL,UNIT TOTAL,
10/25/15,ABEL,201,676,1110,,1987,2026,ABEL
10/25/15,HUSKER HOAGIES,,,,39,39,,
10/25/15,CPN,,,,,0,553,CPN
10/25/15,HUSKER HEROS,,553,,,553,,
10/25/15,KNOLL,,,,,0,,
10/25/15,EAST CAMPUS,,29,68,,97,97,EAST
10/25/15,CORNER DELI,,,,,0,,
10/25/15,HARPER,125,516,734,,1375,1375,HARPER
10/25/15,LEWIS 1 & 2,,,,,0,0,LEWIS
10/25/15,SELLECK,172,639,1113,,1924,1924,SELLECK
10/25/15,HUSKERS TO GO,,,,,0,,
,,,,,,,5975,TOTAL SERVED
,,,,,,,,
,,,,,,,,
DATE,DINING HALL,BREAKFAST,LUNCH,DINNER,LATE NIGHT,TOTAL,UNIT TOTAL,
10/26/15,ABEL,597,587,1049,53,2286,2884,ABEL
10/26/15,HUSKER HOAGIES,,598,,,598,,
10/26/15,CPN,467,700,1054,,2221,2987,CPN
10/26/15,HUSKER HEROS,,466,,,466,,
10/26/15,KNOLL,300,,,,300,,
10/26/15,EAST CAMPUS,51,210,140,,401,437,EAST
10/26/15,CORNER DELI,,36,,,36,,
10/26/15,HARPER,507,774,1048,,2329,2329,HARPER
10/26/15,LEWIS 1 & 2,6,577,395,,978,978,LEWIS
10/26/15,SELLECK,723,1527,1132,,3382,3553,SELLECK
10/26/15,HUSKERS TO GO,,171,,,171,,
,,,,,,,13168,TOTAL SERVED
,,,,,,,,
,,,,,,,,
DATE,DINING HALL,BREAKFAST,LUNCH,DINNER,LATE NIGHT,TOTAL,UNIT TOTAL,
10/27/15,ABEL,572,593,1265,41,2471,3113,ABEL
10/27/15,HUSKER HOAGIES,,642,,,642,,
10/27/15,CPN,465,566,901,,1932,2763,CPN
10/27/15,HUSKER HEROS,,565,,,565,,
10/27/15,KNOLL,266,,,,266,,
10/27/15,EAST CAMPUS,73,231,163,,467,522,EAST
10/27/15,CORNER DELI,,55,,,55,,
10/27/15,HARPER,466,825,1093,,2384,2384,HARPER
10/27/15,LEWIS 1 & 2,18,620,358,,996,996,LEWIS
10/27/15,SELLECK,580,1534,1277,,3391,3578,SELLECK
10/27/15,HUSKERS TO GO,,187,,,187,,
,,,,,,,13356,TOTAL SERVED
,,,,,,,,
,,,,,,,,
DATE,DINING HALL,BREAKFAST,LUNCH,DINNER,LATE NIGHT,TOTAL,UNIT TOTAL,
10/28/15,ABEL,632,563,1197,50,2442,3033,ABEL
10/28/15,HUSKER HOAGIES,,591,,,591,,
10/28/15,CPN,501,642,987,,2130,2939,CPN
10/28/15,HUSKER HEROS,,516,,,516,,
10/28/15,KNOLL,293,,,,293,,
10/28/15,EAST CAMPUS,74,225,139,,438,495,EAST
10/28/15,CORNER DELI,,57,,,57,,
10/28/15,HARPER,522,785,1016,,2323,2323,HARPER
10/28/15,LEWIS 1 & 2,,632,313,,945,945,LEWIS
10/28/15,SELLECK,712,1592,1063,,3367,3519,SELLECK
10/28/15,HUSKERS TO GO,,152,,,152,,
,,,,,,,13254,TOTAL SERVED
,,,,,,,,
,,,,,,,,
DATE,DINING HALL,BREAKFAST,LUNCH,DINNER,LATE NIGHT,TOTAL,UNIT TOTAL,
10/29/15,ABEL,561,580,1056,35,2232,2861,ABEL
10/29/15,HUSKER HOAGIES,,629,,,629,,
10/29/15,CPN,458,522,851,,1831,2679,CPN
10/29/15,HUSKER HEROS,,574,,,574,,
10/29/15,KNOLL,274,,,,274,,
10/29/15,EAST CAMPUS,87,207,145,,439,492,EAST
10/29/15,CORNER DELI,,53,,,53,,
10/29/15,HARPER,476,836,1147,,2459,2459,HARPER
10/29/15,LEWIS 1 & 2,,554,195,,749,749,LEWIS
10/29/15,SELLECK,570,1492,1070,,3132,3288,SELLECK
10/29/15,HUSKERS TO GO,,156,,,156,,
,,,,,,,12528,TOTAL SERVED
,,,,,,,,
,,,,,,,,
DATE,DINING HALL,BREAKFAST,LUNCH,DINNER,LATE NIGHT,TOTAL,UNIT TOTAL,
10/30/15,ABEL,544,538,1073,,2155,2730,ABEL
10/30/15,HUSKER HOAGIES,,575,,,575,,
10/30/15,CPN,450,558,,,1008,1782,CPN
10/30/15,HUSKER HEROS,,500,,,500,,
10/30/15,KNOLL,274,,,,274,,
10/30/15,EAST CAMPUS,49,144,75,,268,310,EAST
10/30/15,CORNER DELI,,42,,,42,,
10/30/15,HARPER,414,765,586,,1765,1765,HARPER
10/30/15,LEWIS 1 & 2,,513,134,,647,647,LEWIS
10/30/15,SELLECK,656,1396,1052,,3104,3256,SELLECK
10/30/15,HUSKERS TO GO,,152,,,152,,
,,,,,,,10490,TOTAL SERVED
,,,,,,,,
,,,,,,,,
DATE,DINING HALL,BREAKFAST,LUNCH,DINNER,LATE NIGHT,TOTAL,UNIT TOTAL,
10/31/15,ABEL,147,561,780,,1488,1488,ABEL
10/31/15,HUSKER HOAGIES,,,,,0,,
10/31/15,CPN,,,,,0,508,CPN
10/31/15,HUSKER HEROS,,508,,,508,,
10/31/15,KNOLL,,,,,0,,
10/31/15,EAST CAMPUS,,32,24,,56,56,EAST
10/31/15,CORNER DELI,,,,,0,,
10/31/15,HARPER,110,429,478,,1017,1017,HARPER
10/31/15,LEWIS 1 & 2,,,,,0,0,LEWIS
10/31/15,SELLECK,151,495,812,,1458,1458,SELLECK
10/31/15,HUSKERS TO GO,,,,,0,,
,,,,,,,4527,TOTAL SERVED
