,,,,,,,,
DATE,DINING HALL,BREAKFAST,LUNCH,DINNER,LATE NIGHT,TOTAL,UNIT TOTAL,
10/1/15,ABEL,748,599,1098,41,2486,3088,ABEL
10/1/15,HUSKER HOAGIES,,602,,,602,,
10/1/15,CPN,452,559,848,,1859,2680,CPN
10/1/15,HUSKER HEROS,,552,,,552,,
10/1/15,KNOLL,269,,,,269,,
10/1/15,EAST CAMPUS,89,239,120,,448,486,EAST
10/1/15,CORNER DELI,,38,,,38,,
10/1/15,HARPER,548,802,1030,,2380,2380,HARPER
10/1/15,LEWIS 1 & 2,,564,292,,856,856,LEWIS
10/1/15,SELLECK,635,1450,1229,,3314,3458,SELLECK
10/1/15,HUSKERS TO GO,,144,,,144,,
,,,,,,,12948,TOTAL SERVED
,,,,,,,,
,,,,,,,,
DATE,DINING HALL,BREAKFAST,LUNCH,DINNER,LATE NIGHT,TOTAL,UNIT TOTAL,
10/2/15,ABEL,612,522,770,,1904,2447,ABEL
10/2/15,HUSKER HOAGIES,,543,,,543,,
10/2/15,CPN,410,544,,,954,1701,CPN
10/2/15,HUSKER HEROS,4,467,,,471,,
10/2/15,KNOLL,276,,,,276,,
10/2/15,EAST CAMPUS,52,152,92,,296,328,EAST
10/2/15,CORNER DELI,,32,,,32,,
10/2/15,HARPER,494,760,589,,1843,1843,HARPER
10/2/15,LEWIS 1 & 2,,493,127,,620,620,LEWIS
10/2/15,SELLECK,648,1327,925,,2900,3033,SELLECK
10/2/15,HUSKERS TO GO,,133,,,133,,
,,,,,,,9972,TOTAL SERVED
,,,,,,,,
,,,,,,,,
DATE,DINING HALL,BREAKFAST,LUNCH,DINNER,LATE NIGHT,TOTAL,UNIT TOTAL,
10/3/15,ABEL,203,415,537,,1155,1155,ABEL
10/3/15,HUSKER HOAGIES,,,,,0,,
10/3/15,CPN,,,,,0,408,CPN
10/3/15,HUSKER HEROS,,408,,,408,,
10/3/15,KNOLL,,,,,0,,
10/3/15,EAST CAMPUS,,36,23,,59,59,EAST
10/3/15,CORNER DELI,,,,,0,,
10/3/15,HARPER,152,319,337,,808,808,HARPER
10/3/15,LEWIS 1 & 2,,,,,0,0,LEWIS
10/3/15,SELLECK,181,503,743,,1427,1427,SELLECK
10/3/15,HUSKERS TO GO,,,,,0,,
,,,,,,,3857,TOTAL SERVED
,,,,,,,,
,,,,,,,,
